date,equity,cash,invested,open_positions,drawdown,strategy_id
2020-07-30,168958.9587505387,147099.9980575589,21858.960692979796,2,0.001463704982708759,10
2020-07-31,169203.76377880928,133288.98579442385,35914.77798438545,3,1.6923422626910855e-05,10
2020-08-03,170296.4550314363,133288.98579442385,37007.469237012454,3,0.0,10
2020-08-04,171778.1539389481,133288.98579442385,38489.168144524236,3,0.0,10
2020-08-05,172184.59146186803,141980.03261949978,30204.558842368235,2,0.0,10
2020-08-06,172465.0769587844,124193.24325665124,48271.83370213315,3,0.0,10
2020-08-07,171714.4165195693,124193.24325665124,47521.17326291803,3,0.004352535901482815,10
2020-08-10,171997.7559360615,138968.72798532853,33029.02795073297,2,0.0027096559544897273,10
2020-08-11,171329.47271458892,138968.72798532853,32360.744729260376,2,0.006584546067067617,10
2020-08-12,171946.33420479647,122802.861932433,49143.47227236348,3,0.0030078133100065064,10
2020-08-13,172660.63947641244,122802.861932433,49857.77754397942,3,0.0,10
2020-08-14,172441.97497460042,122802.861932433,49639.11304216742,3,0.0012664409356707511,10
2020-08-17,172814.56594688195,138207.2046467407,34607.361300141274,2,0.0,10
2020-08-18,173755.1343797113,138207.2046467407,35547.92973297059,2,0.0,10
2020-08-19,173682.8176652464,153403.06131711174,20279.756348134655,1,0.00041619900743108447,10
2020-08-20,173664.28147482252,117514.20932005096,56150.072154771566,3,0.0005228789653503368,10
2020-08-21,172942.4155448284,135342.46978242553,37599.94576240286,2,0.00467738025575025,10
2020-08-24,175066.2646699129,116808.01423552967,58258.25043438323,3,0.0,10
2020-08-25,175050.24715584153,136160.76526814757,38889.48188769396,2,9.1494007149636e-05,10
2020-08-26,174179.594018401,136083.90822730874,38095.68579109227,2,0.005064771634807632,10
2020-08-27,175273.76484557014,118510.51786654694,56763.24697902321,3,0.0,10
2020-08-28,176626.41563413764,118510.51786654694,58115.897767590686,3,0.0,10
2020-08-31,176147.83907700385,138793.48137152253,37354.35770548133,2,0.0027095412394321726,10
2020-09-01,176430.55719278977,138793.48137152253,37637.07582126724,2,0.0011088853309097711,10
2020-09-02,176813.7164026821,126287.1163191246,50526.600083557496,3,0.0,10
2020-09-03,176199.23450742805,144829.85998990532,31369.374517522723,2,0.003475306711242967,10
2020-09-04,176554.42296680645,141798.80173641763,34755.621230388824,3,0.0014664780603622519,10
2020-09-08,173518.52680676497,141798.80173641763,31719.72507034735,3,0.018636504355875518,10
2020-09-09,174093.82624197475,141798.80173641763,32295.02450555712,3,0.015382800701462385,10
2020-09-10,172356.30889619887,141798.80173641763,30557.50715978125,3,0.025209625119420962,10
2020-09-11,172319.53032305645,157477.30391589424,14842.226407162201,2,0.025417632585644126,10
2020-09-14,173469.43212010784,145427.35188757107,28042.080232536777,3,0.018914167693629937,10
2020-09-15,173537.20503435712,145427.35188757107,28109.85314678604,3,0.018530866467751473,10
2020-09-16,174302.9606150502,145427.35188757107,28875.60872747913,3,0.014200005738886322,10
2020-09-17,174103.1948470637,161792.63990701432,12310.554940049395,1,0.015329814964385121,10
2020-09-18,173643.72408658956,136215.32932405587,37428.39476253369,3,0.01792842987855694,10
2020-09-21,173280.42464598446,136215.32932405587,37065.095321928595,3,0.01998313156118946,10
2020-09-22,173327.91536357452,136215.32932405587,37112.586039518654,3,0.01971453974288334,10
2020-09-23,172164.0284594365,136215.32932405587,35948.699135380615,3,0.02629709978300684,10
2020-09-24,172333.3936750628,136215.32932405587,36118.064351006935,3,0.02533922604406798,10
2020-09-25,173100.01349467636,136215.32932405587,36884.68417062048,3,0.02100347746522117,10
2020-09-28,173726.59480468163,136215.32932405587,37511.265480625756,3,0.017459740459104083,10
2020-09-29,173709.89477837418,148812.91595961526,24896.978818758915,2,0.01755419029392021,10
2020-09-30,173842.1540342199,135769.26793640346,38072.88609781642,3,0.016806175611934232,10
2020-10-01,174712.65196410433,135769.26793640346,38943.38402770086,3,0.011882926739646875,10
2020-10-02,174056.06800314915,163248.27567093595,10807.792332213201,1,0.015596348833325672,10
2020-10-05,175107.26386216833,141181.09137552683,33926.1724866415,3,0.009651132136306835,10
2020-10-06,174956.8391372863,141181.09137552683,33775.74776175947,3,0.010501884713326649,10
2020-10-07,175531.87115463705,141181.09137552683,34350.77977911021,3,0.007249693486028701,10
2020-10-08,175991.91471247846,141181.09137552683,34810.823336951624,3,0.004647839019072654,10
2020-10-09,176378.61893178287,141181.09137552683,35197.52755625604,3,0.002460767635856496,10
2020-10-12,176859.8189679778,141181.09137552683,35678.72759245098,3,0.0,10
2020-10-13,177676.45411688654,141181.09137552683,36495.36274135972,3,0.0,10
2020-10-14,177392.44567063174,141181.09137552683,36211.354295104924,3,0.0015984585445855324,10
2020-10-15,176957.7726740546,153366.1198581977,23591.652815856924,2,0.004044888482292319,10
2020-10-16,176731.8979142036,152853.59499277797,23878.30292142563,2,0.005316158561232548,10
2020-10-19,176140.37043931131,141315.95490008369,34824.415539227644,3,0.008645398092899211,10
2020-10-20,176428.50440587907,152910.12467879622,23518.37972708286,2,0.0070237202628238805,10
2020-10-21,176313.1782276965,144336.2433024792,31976.934925217305,3,0.007672799955210629,10
2020-10-22,177049.5559736644,144336.2433024792,32713.312671185195,3,0.003528313002069119,10
2020-10-23,176895.44392857942,144336.2433024792,32559.200626100202,3,0.00439568761200807,10
2020-10-26,175448.05928205381,144336.2433024792,31111.81597957461,3,0.012541869128966009,10
2020-10-27,175071.63370434154,144336.2433024792,30735.390401862314,3,0.014660470491106197,10
2020-10-28,173900.82768305836,144336.2433024792,29564.58438057915,3,0.021250010039846563,10
2020-10-29,174408.18808318867,144336.2433024792,30071.944780709455,3,0.01839448029251983,10
2020-10-30,174646.93789125307,144336.2433024792,30310.694588773847,3,0.017050746767157288,10
2020-11-02,174739.0315463551,144336.2433024792,30402.788243875886,3,0.016532424541740424,10
2020-11-03,175497.61744248308,144336.2433024792,31161.374140003878,3,0.012262945505261401,10
2020-11-04,175575.43760037023,156043.75904811802,19531.678552252208,2,0.011824957487806048,10
2020-11-05,176090.51272441423,147843.57010462825,28246.942619785987,3,0.008926007671387761,10
2020-11-06,176699.06130732497,147843.57010462825,28855.49120269672,3,0.005500969807280039,10
2020-11-09,177960.94518148835,156411.30890661816,21549.636274870183,2,0.0,10
2020-11-10,178707.31777614128,156411.30890661816,22296.008869523113,2,0.0,10
2020-11-11,178185.2674179134,153159.8078833878,25025.45953452558,2,0.002921258987736809,10
2020-11-12,177656.51216475628,144780.20140361114,32876.31076114515,2,0.005880036835991803,10
2020-11-13,178388.02665538376,130034.38864160918,48353.63801377459,3,0.001786670656416461,10
2020-11-16,179931.38300950878,130034.38864160918,49896.99436789958,3,0.0,10
2020-11-17,182769.71219438643,130034.38864160918,52735.32355277725,3,0.0,10
2020-11-18,183448.839913456,148695.08670101693,34753.75321243907,2,0.0,10
2020-11-19,184464.04913952327,131085.8944703179,53378.15466920537,3,0.0,10
2020-11-20,183469.34879905634,131085.8944703179,52383.45432873844,3,0.005392380494231483,10
2020-11-23,187131.7220200238,131085.8944703179,56045.82754970591,3,0.0,10
2020-11-24,189768.85030842197,131085.8944703179,58682.95583810408,3,0.0,10
2020-11-25,190520.0087973239,131085.8944703179,59434.11432700603,3,0.0,10
2020-11-27,190930.05589255953,131085.8944703179,59844.16142224164,3,0.0,10
2020-11-30,188741.71831649638,131085.8944703179,57655.823846178486,3,0.011461461977964178,10
2020-12-01,188970.29714154016,131085.8944703179,57884.40267122226,3,0.010264275793865416,10
2020-12-02,189822.55227596656,151629.53598485768,38193.016291108885,2,0.005800572421223086,10
2020-12-03,191130.70105153968,129049.20733376678,62081.493717772886,3,0.0,10
2020-12-04,191911.595909203,147629.84864995294,44281.74725925004,2,0.0,10
2020-12-07,192967.75101932287,124173.76158235836,68793.9894369645,3,0.0,10
2020-12-08,193450.05626230012,124173.76158235836,69276.29467994177,3,0.0,10
2020-12-09,191208.57314532239,124173.76158235836,67034.81156296404,3,0.01158688273493439,10
2020-12-10,192489.64127950353,124173.76158235836,68315.87969714517,3,0.0049646663400002115,10
2020-12-11,191639.4587322864,145989.03513842094,45650.423593865475,2,0.009359508934743894,10
2020-12-14,191569.13616328238,126720.01117404472,64849.12498923768,3,0.009723026890555065,10
2020-12-15,192162.5321725807,126720.01117404472,65442.52099853596,3,0.006655589119982829,10
2020-12-16,192570.85070338455,126720.01117404472,65850.83952933984,3,0.004544871042701813,10
2020-12-17,194328.14254460536,151520.25121320487,42807.891331400475,2,0.0,10
2020-12-18,192950.17697428606,153468.62606347614,39481.55091080992,2,0.007090921326554672,10
2020-12-21,191585.7405010198,132783.1498393154,58802.59066170441,3,0.01411222279838376,10
2020-12-22,190021.39297472005,132783.1498393154,57238.24313540467,3,0.022162253564981,10
2020-12-23,191025.59724596978,132783.1498393154,58242.44740665439,3,0.016994683607792563,10
2020-12-24,190404.7703191588,132783.1498393154,57621.62047984342,3,0.020189418650703214,10
2020-12-28,190616.2864966647,132783.1498393154,57833.136657349314,3,0.01910097013914836,10
2020-12-29,189996.55555491624,132783.1498393154,57213.40571560084,3,0.02229006531411099,10
2020-12-30,191481.10675197962,132783.1498393154,58697.956912664245,3,0.014650661275024764,10
2020-12-31,191065.80607405424,132783.1498393154,58282.656234738846,3,0.0167877715900171,10
2021-01-04,190997.0353928765,132783.1498393154,58213.88555356113,3,0.017141661048729682,10
2021-01-05,193473.90061553547,152747.94683219015,40725.95378334533,2,0.004395873484324637,10
2021-01-06,194217.11837757696,135872.42514534658,58344.69323223037,3,0.00057132315255325,10
2021-01-07,195437.52163659,135872.42514534658,59565.09649124343,3,0.0,10
2021-01-08,194773.67886441047,177475.92417379143,17297.754690619036,1,0.003396700728808566,10
2021-01-11,194543.86206331814,130202.48212301772,64341.37994030041,3,0.004572610038176818,10
2021-01-12,195980.15506659244,130202.48212301772,65777.67294357473,3,0.0,10
2021-01-13,197841.1658504155,130202.48212301772,67638.68372739779,3,0.0,10
2021-01-14,200016.1023134351,130202.48212301772,69813.62019041741,3,0.0,10
2021-01-15,199499.8142975103,155587.63954397364,43912.174753536674,2,0.0025812322605694655,10
2021-01-19,200645.1791706992,136385.15633969416,64260.02283100505,3,0.0,10
2021-01-20,202190.77213130216,136385.15633969416,65805.61579160798,3,0.0,10
2021-01-21,202031.12228651592,136385.15633969416,65645.96594682176,3,0.000789600054954849,10
