strategy_id,symbol,sector,entry_date,exit_date,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,pnl_pct,pnl_dollars,exit_reason,hwm
1,DELL,Unknown,2019-08-27,2019-09-13,12,90.4,0.031255075881924485,0.10395275327345076,0.8116,28305.200354227196,0.184663900414938,5226.9486994378785,pct_trail,0.216663900414938
1,PCG,Utilities,2019-09-30,2019-10-02,2,95.1,0.04350261289498174,0.2435840510455868,0.8374,32542.045703163338,-0.032,-1041.3454625012268,pct_trail,0.0
1,PCG,Utilities,2019-10-02,2019-10-08,4,90.0,0.030724792557354677,0.17167668251414256,0.8116,30047.342707976768,0.2514805253623187,7556.321529943633,pct_trail,0.2834805253623187
1,PCG,Utilities,2019-10-11,2019-10-15,2,90.4,0.031222707146415042,0.1364848075456476,0.8116,31256.21974709054,-0.032,-1000.1990319068973,pct_trail,0.0
1,DAL,Industrials,2019-10-11,2019-11-07,19,90.7,0.03169790674092905,0.08623126665283846,0.8116,31256.21974709054,0.09504108128387645,2970.6249216099363,hold_expiry,0.09704108128387645
1,NVDA,Information Technology,2019-10-16,2019-11-11,18,95.2,0.04893604831475388,0.1167516146523549,0.8374,33514.669356684106,0.06994914903308636,2344.322601625309,hold_expiry,0.08389581349124198
1,LVS,Consumer Discretionary,2019-10-28,2019-11-13,12,90.2,0.030926035907155137,0.07882949604611823,0.8116,31691.924046763932,-0.005077291197173898,-160.90912698413828,pct_trail,0.0269227088028261
1,WBD,Communication Services,2019-11-08,2019-11-13,3,92.3,0.03376892581621123,0.0845299524347734,0.8116,32082.62688125014,-0.03022035269373899,-969.5482996930106,pct_trail,0.0017796473062610119
1,TPR,Consumer Discretionary,2019-11-14,2019-11-20,4,90.0,0.030766743017199297,0.09386588928290535,0.8116,31765.64967786543,0.0009620703685651339,30.56079029329492,pct_trail,0.03296207036856513
1,ON,Information Technology,2019-11-18,2019-12-02,9,92.1,0.03342951687498066,0.08480835601145285,0.8116,31931.206760204746,0.009873669268984949,315.27817490983807,pct_trail,0.04187366926898495
1,DECK,Consumer Discretionary,2019-11-20,2019-12-02,7,90.2,0.030947138403346328,0.07638114034130443,0.8116,31663.11505411435,0.021792266823421863,690.0110517199655,pct_trail,0.053792266823421864
1,EL,Consumer Staples,2019-11-19,2019-12-13,17,91.8,0.03313835910180189,0.077395938896203,0.8116,31929.53533852616,0.036808772420405145,1175.286999765093,hold_expiry,0.038808772420405147
1,CIEN,Unknown,2019-12-09,2019-12-13,4,90.5,0.031434332617312204,0.08575865066236099,0.8116,32011.83938264204,0.19943600115573526,6384.31323611381,pct_trail,0.23143600115573526
1,MOS,Materials,2019-12-16,2019-12-30,9,90.5,0.03136824256614075,0.09174617036779745,0.8116,33140.76882946333,0.08247419705757422,2733.2582990806723,pct_trail,0.11447419705757422
1,WDC,Information Technology,2019-12-20,2020-01-06,9,92.5,0.034043502957019335,0.0812279969249496,0.8116,33747.70341336642,0.05032736896560144,1698.433121426179,pct_trail,0.08232736896560144
1,NFLX,Communication Services,2019-12-30,2020-01-10,8,91.4,0.03255249854888408,0.09311533802059722,0.8116,33690.24242544187,0.017333457053601703,583.9683702068268,pct_trail,0.049333457053601704
1,AMAT,Information Technology,2020-01-06,2020-01-24,13,95.0,0.03761908008151284,0.06637211793133402,0.8374,36611.55446181455,0.034787568892152204,1273.626973089156,pct_trail,0.0667875688921522
1,APO,Unknown,2020-01-02,2020-01-27,16,95.1,0.04128486482491724,0.07178933791329517,0.8374,36700.00965278649,0.06199931488827207,2275.375454865734,pct_trail,0.09399931488827207
1,GOOG,Communication Services,2020-01-10,2020-01-27,10,95.0,0.037864905355097844,0.05846618127256686,0.8374,36957.06348248287,0.007811351622748293,288.6846178059042,pct_trail,0.03981135162274829
1,AXON,Industrials,2020-01-24,2020-01-31,5,95.1,0.04184439119350485,0.07297126492457089,0.8374,37325.45672218672,-0.032,-1194.414615109975,pct_trail,0.0
1,GOOGL,Communication Services,2020-01-27,2020-02-06,8,95.0,0.03886772787546431,0.051604289284694654,0.8374,36947.90936890972,0.028900130563932036,1067.7994048258186,hold_expiry,0.0355297275903983
1,APTV,Consumer Discretionary,2020-01-31,2020-02-07,5,95.2,0.0521296639746846,0.07659921304609076,0.8374,36916.31395271314,0.038293905165716985,1413.6698255730319,pct_trail,0.07029390516571699
1,ACN,Information Technology,2020-01-27,2020-02-14,14,95.0,0.03916627304456155,0.0525611227213198,0.8374,36947.90936890972,0.026177436625018036,967.2015559315444,hold_expiry,0.03684364528664297
1,APTV,Consumer Discretionary,2020-02-07,2020-02-14,5,95.1,0.04120503947429068,0.05175962025696245,0.8374,37501.67806187695,0.018269711924710413,685.1448548837242,pct_trail,0.050269711924710414
1,ETN,Industrials,2020-02-06,2020-02-24,11,95.1,0.04223551596168733,0.05541037339394749,0.8374,37645.95014949403,-0.006433321270293139,-242.1884918371351,pct_trail,0.02556667872970686
1,MO,Consumer Staples,2020-02-14,2020-02-24,5,92.2,0.03362150930279318,0.059041754145927855,0.8116,35017.8497421073,-0.01606142960404197,-562.4367285177757,pct_trail,0.01593857039595803
1,ESS,Real Estate,2020-02-14,2020-02-25,6,91.3,0.0324274441111406,0.05461174739418033,0.8116,35017.8497421073,-0.017007971773901093,-595.5825999964705,pct_trail,0.014992028226098908
1,AKAM,Information Technology,2020-02-24,2020-02-26,2,95.0,0.03965880173882436,0.08349977430343715,0.8374,37556.060489323856,-0.032,-1201.7939356583634,pct_trail,0.0
1,CTRA,Energy,2020-02-24,2020-02-27,3,95.0,0.03733487900996966,0.11136437900304047,0.8374,37556.060489323856,-0.032,-1201.7939356583634,pct_trail,0.0
1,JCI,Industrials,2020-02-25,2020-02-27,2,95.3,0.05656250853867529,0.08534374126537778,0.8374,37005.1075253464,-0.032,-1184.163440811085,pct_trail,0.0
1,AKAM,Information Technology,2020-02-26,2020-02-28,2,90.6,0.03143835070374445,0.08069275169519242,0.8116,34363.3567074853,-0.032,-1099.6274146395297,pct_trail,0.0
1,AES,Utilities,2020-03-02,2020-03-05,3,95.0,0.03766073229979863,0.07066209014683576,0.8374,36616.78703463046,-0.032,-1171.7371851081748,pct_trail,0.0
1,ALL,Financials,2020-03-02,2020-03-05,3,95.0,0.03859020204649429,0.07057138966283533,0.8374,36616.78703463046,-0.015669693342646313,-573.7738240256467,pct_trail,0.016330306657353688
