date,equity,drawdown,strategy_id
2020-04-17,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-20,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-21,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-22,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-23,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-24,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-27,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-28,350987.9178213192,0.0629457318151484,L1P5_skip_L
2020-04-29,373982.5310692783,0.0015555830515967485,L1P5_skip_L
2020-04-30,366435.5860035496,0.02170413155290977,L1P5_skip_L
2020-05-01,354568.41249145614,0.053386662563730564,L1P5_skip_L
2020-05-04,358786.9745564634,0.042124105114017506,L1P5_skip_L
2020-05-05,358786.9745564634,0.042124105114017506,L1P5_skip_L
2020-05-06,352406.4682002664,0.05915853966483501,L1P5_skip_L
2020-05-07,358578.69756708416,0.042680155142958615,L1P5_skip_L
2020-05-08,365599.4138269751,0.023936512404821066,L1P5_skip_L
2020-05-11,366697.0258831559,0.021006149250329384,L1P5_skip_L
2020-05-12,361881.82496548793,0.03386159054322705,L1P5_skip_L
2020-05-13,347548.14079753566,0.07212911841645427,L1P5_skip_L
2020-05-14,352582.9913206233,0.058687264914437626,L1P5_skip_L
2020-05-15,352391.64240632707,0.0591981210087637,L1P5_skip_L
2020-05-18,365934.1173170177,0.023042933686021852,L1P5_skip_L
2020-05-19,363654.81606164074,0.02912812597152203,L1P5_skip_L
2020-05-20,370651.409923279,0.010448884299899298,L1P5_skip_L
2020-05-21,365548.168820597,0.02407332438469726,L1P5_skip_L
2020-05-22,364800.52438349434,0.02606935722599968,L1P5_skip_L
2020-05-26,379303.9447545998,0.0,L1P5_skip_L
2020-05-27,378492.3754838537,0.002139627815553585,L1P5_skip_L
2020-05-28,377220.5214629151,0.005492754084149147,L1P5_skip_L
2020-05-29,360236.7322953659,0.05026895375836375,L1P5_skip_L
2020-06-01,375073.7431479597,0.011152537866108831,L1P5_skip_L
2020-06-02,384645.6475060446,0.0,L1P5_skip_L
2020-06-03,406829.31711660896,0.0,L1P5_skip_L
2020-06-04,422076.70459516125,0.0,L1P5_skip_L
2020-06-05,474202.9154770315,0.0,L1P5_skip_L
2020-06-08,515078.26373179676,0.0,L1P5_skip_L
2020-06-09,506702.96187555604,0.016260251006440792,L1P5_skip_L
2020-06-10,517549.20342234627,0.0,L1P5_skip_L
2020-06-11,504276.33233348647,0.025645621713049894,L1P5_skip_L
2020-06-12,504276.33233348647,0.025645621713049894,L1P5_skip_L
2020-06-15,504276.33233348647,0.025645621713049894,L1P5_skip_L
2020-06-16,504276.33233348647,0.025645621713049894,L1P5_skip_L
2020-06-17,504678.0173570295,0.024869492562648667,L1P5_skip_L
2020-06-18,506747.3976585326,0.02087107021397316,L1P5_skip_L
2020-06-19,506526.397749181,0.021298082578962218,L1P5_skip_L
2020-06-22,518027.66614337155,0.0,L1P5_skip_L
2020-06-23,517441.7540196131,0.0011310440774726937,L1P5_skip_L
2020-06-24,506836.4985686935,0.021603416778865066,L1P5_skip_L
2020-06-25,504755.1099485309,0.025621326933467817,L1P5_skip_L
2020-06-26,497955.60182891536,0.03874708944386951,L1P5_skip_L
2020-06-29,509557.9078225295,0.01635001154262276,L1P5_skip_L
